,dns_time_ms,tcp_connect_ms,tls_time_ms,rtt_ms,response_size,time_of_day,response_time_ms
count,676.0,676.0,676.0,676.0,676.0,676.0,676.0
mean,11.662152366863905,33.65833136094675,50.17483579881657,25.89437869822485,317663.37130177516,104575.39644970415,378.02999556213024
std,9.117937239863151,22.656709163145706,22.731876656060127,16.688512795246794,313728.9525721817,68059.33426774407,291.20517773984767
min,0.858,6.556,12.562,4.38,1462.0,235.0,80.476
25%,6.0009999999999994,26.481749999999998,35.688250000000004,7.03,119573.0,53132.5,197.549
50%,10.51,31.106,48.6185,26.74,201253.0,90112.5,287.0825
75%,14.01325,45.7725,63.17075,31.52,423648.0,150100.25,422.45475
max,58.25,273.369,172.869,79.31,1373896.0,210454.0,1691.125
