model,MAE,RMSE,R2,MAPE_%,Accuracy_%
baseline_mean,187.13705679785332,277.49219548261465,-7.559072557872248e-05,66.03943648800985,33.960563511990145
linear_regression,76.54643362037763,127.03856679230672,0.7903946070540558,19.38708538856072,80.61291461143928
decision_tree,66.31787708855867,136.56397244312242,0.757783589480534,15.72176690871468,84.27823309128532
random_forest,53.45102030357986,95.1476930169458,0.8824215294158521,13.81873472223245,86.18126527776755
